Domain,Discovery Method,IP Addresses,HTTP Status,Title,Server,Technologies,Open Ports,Takeover Risk
cpanel.elearn.usc.edu.tt,passive,"104.244.122.231, 104.244.122.231",200,cPanel Login,,apache,"21, 53, 80, 110, 143, 443, 993, 995, 3306",No
cpanel.espace.usc.edu.tt,passive,"104.244.122.231, 104.244.122.231",200,cPanel Login,,apache,"21, 53, 80, 110, 143, 443, 993, 995, 3306",No
cpanel.online.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
cpcalendars.connect.usc.edu.tt,passive,,,,,,,No
cpcalendars.de.usc.edu.tt,passive,137.184.111.46,404,404 Not Found,,"apache,nginx","21, 22, 80, 110, 143, 443, 993, 995, 8443",No
cpcalendars.elearn.usc.edu.tt,passive,"104.244.122.231, 104.244.122.231",401,,,,"21, 53, 80, 110, 143, 443, 993, 995, 3306",No
cpcalendars.espace.usc.edu.tt,passive,"104.244.122.231, 104.244.122.231",401,,,,"21, 53, 80, 110, 143, 443, 993, 995, 3306",No
cpcalendars.online.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
cpcontacts.connect.usc.edu.tt,passive,,,,,,,No
cpcontacts.de.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443, 21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
cpcontacts.elearn.usc.edu.tt,passive,"104.244.122.231, 104.244.122.231, 104.244.122.231",401,,,,"21, 53, 80, 110, 143, 443, 993, 995, 3306, 21, 80, 110, 143, 443, 993, 995, 3306",No
cpcontacts.espace.usc.edu.tt,passive,"104.244.122.231, 104.244.122.231, 104.244.122.231",401,,,,"21, 53, 80, 110, 143, 443, 993, 995, 3306, 21, 53, 80, 110, 143, 443, 993, 995, 3306",No
cpcontacts.online.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443, 21, 22, 80, 110, 143, 443, 993, 995, 8443",No
crashlytics-pa.clients6.google.com,passive,172.217.165.202,404,Error 404 (Not Found)!!1,,,,No
crowdsource.google.com,passive,142.250.64.142,200,Sign in - Google Accounts,,apache,,No
cse.google.com,passive,142.251.34.142,200,Programmable Search Engine by Google,,,,No
csffp.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46, 137.184.111.46",200,The Caribbean Self-Forgiveness and Flourishing Project  &#8211; Promoting self-forgiveness.,,"PHP,nginx,wordpress","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
currents.google.com,passive,142.250.217.174,200,Sign in - Google Accounts,,apache,,No
da.ext.corp.google.com,passive,,,,,,,No
da.ext.google.com,passive,,,,,,,No
dailygames.discover.google.com,passive,142.250.64.206,200,Google,,,,No
dasher-qa.corp.google.com,passive,64.233.176.129,404,&Uuml;berProxy: Error 404,,,,No
dasher.corp.google.com,passive,142.250.9.129,200,dasher.corp.google.com - Google Single Sign On: Sign into corp,,,,No
dataflow.clients6.google.com,passive,142.251.34.138,404,Error 404 (Not Found)!!1,,,,No
datally.google.com,passive,142.250.64.238,200,Datally Help,,apache,,No
dataplex-dev.cloud.google.com,passive,142.250.217.238,200,Sign in - Google Accounts,,apache,,No
dataplex-staging.cloud.google.com,passive,192.178.50.46,404,Error 404 (Not Found)!!1,,,,No
dataplex.cloud.google.com,passive,142.250.217.238,404,Error 404 (Not Found)!!1,,,,No
dataproc.clients6.google.com,passive,172.217.15.202,404,Error 404 (Not Found)!!1,,,,No
datastore.clients6.google.com,passive,142.250.217.202,404,Error 404 (Not Found)!!1,,,,No
datastudio.google.com,passive,192.178.50.78,200,Looker Studio Overview,,,,No
davidsiguel.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443, 21, 22, 80, 110, 143, 443, 993, 995, 8443",No
de.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46, 137.184.111.46",200,Department of Online Education &#8211; Advancing USC distance education,,"PHP,nginx,wordpress",,No
deepmind.google.com,passive,142.250.217.238,200,Google DeepMind,,,,No
deliverynavigator.cloud.google.com,passive,192.178.50.78,200,Sign in - Google Accounts,,apache,,No
demetrius-codespot.corp.google.com,passive,,,,,,,No
demetrius-googlecode.corp.google.com,passive,,,,,,,No
demetrius.corp.google.com,passive,,,,,,,No
design.google.com,passive,142.250.64.142,200,Google Design - Discover the people and stories behind the products,,,,No
dev.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443, 21, 22, 80, 110, 143, 443, 993, 995, 8443",No
dev2025.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 80, 110, 143, 443, 993, 995, 8443, 21, 22, 80, 110, 143, 443, 993, 995, 8443",No
devconsole-testers.sandbox.google.com,passive,172.217.204.81,404,Error 404 (Not Found)!!1,,,,No
developer.google.com,passive,142.250.217.174,200,Google for Developers - from AI and Cloud to Mobile and Web,,,,No
developerprofiles-pa.clients6.google.com,passive,192.178.50.74,404,Error 404 (Not Found)!!1,,,,No
developers.google.com,passive,142.250.64.174,200,Google for Developers - from AI and Cloud to Mobile and Web,,,,No
developerscontentsearch-pa.clients6.google.com,passive,192.178.50.74,404,Error 404 (Not Found)!!1,,,,No
developerscontentserving-pa.clients6.google.com,passive,142.250.217.202,404,Error 404 (Not Found)!!1,,,,No
devicemanagement.google.com,passive,142.251.35.238,404,Error 404 (Not Found)!!1,,,,No
dfa7.corp.google.com,passive,,,,,,,No
dg.video.google.com,passive,74.125.134.176,404,Error 404 (Not Found)!!1,,,,No
dialogflow.clients6.google.com,passive,142.250.217.170,404,Error 404 (Not Found)!!1,,,,No
directory.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443, 21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
discover.google.com,passive,142.250.217.206,200,Google,,,,No
dl.google.com,passive,192.178.50.46,200,Google Chrome - The Fast & Secure Web Browser Built to be Yours,,,,No
dns.google.com,passive,"8.8.4.4, 8.8.8.8",200,Google Public DNS,,,,No
docs-dev.corp.google.com,passive,64.233.185.129,404,&Uuml;berProxy: Error 404,,,,No
docs-nightly.corp.google.com,passive,,,,,,,No
docs-platinum.corp.google.com,passive,,,,,,,No
docs-qa.corp.google.com,passive,64.233.185.129,200,docs-qa.corp.google.com - Google Single Sign On: Sign into corp,,,,No
docs.cloud.google.com,passive,192.178.50.46,200,Google Cloud Documentation,,,,No
docs.google.com,passive,142.250.64.238,200,Sign in - Google Accounts,,apache,,No
docs.sandbox.google.com,passive,74.125.134.81,200,Sign in - Google Accounts,,apache,,No
documentwarehouse.cloud.google.com,passive,192.178.50.78,200,Sign in - Google Accounts,,apache,,No
drive-test.corp.google.com,passive,,,,,,,No
drive.google.com,passive,192.178.50.78,200,Google Drive: Sign-in,,apache,,No
drive.sandbox.google.com,passive,173.194.212.81,200,Google Drive: Sign-in,,apache,,No
driveactivity.clients6.google.com,passive,192.178.50.74,404,Error 404 (Not Found)!!1,,,,No
drivefrontend-pa.clients6.google.com,passive,192.178.50.74,404,Error 404 (Not Found)!!1,,,,No
drivelabels.clients6.google.com,passive,142.251.35.234,404,Error 404 (Not Found)!!1,,,,No
drivemetadata.clients6.google.com,passive,142.250.217.170,404,Error 404 (Not Found)!!1,,,,No
drivesharefrontend-pa.clients6.google.com,passive,142.251.34.138,404,Error 404 (Not Found)!!1,,,,No
dthree.corp.google.com,passive,,,,,,,No
dynamicmail-pa.clients6.google.com,passive,142.250.217.170,404,Error 404 (Not Found)!!1,,,,No
dynamiteintegration-pa.clients6.google.com,passive,192.178.50.74,404,,,,,No
earth-pa.clients6.google.com,passive,192.178.50.42,404,Error 404 (Not Found)!!1,,,,No
ecc-test.sandbox.google.com,passive,173.194.216.81,200,ECC-capable Certificate Success,,,,No
eggroll.ext.google.com,passive,216.239.44.90,,,,,,No
elearn.usc.edu.tt,passive,"104.244.122.231, 104.244.122.231, 104.244.122.231",200,USC,,apache,"21, 53, 80, 110, 143, 443, 993, 995, 3306, 21, 53, 80, 110, 143, 443, 993, 995, 3306",No
embeddedassistant-webchannel.clients6.google.com,passive,142.250.217.202,404,Error 404 (Not Found)!!1,,,,No
espace.usc.edu.tt,passive,"104.244.122.231, 104.244.122.231, 104.244.122.231",200,USC eSpace,,apache,"21, 53, 80, 110, 143, 443, 993, 995, 3306, 21, 53, 80, 110, 143, 443, 993, 995, 3306",No
espresso-pa.clients6.google.com,passive,172.217.15.202,404,Error 404 (Not Found)!!1,,,,No
eu-discoveryengine.clients6.google.com,passive,142.250.217.170,404,Error 404 (Not Found)!!1,,,,No
europe-west1-dialogflow.clients6.google.com,passive,192.178.50.42,404,Error 404 (Not Found)!!1,,,,No
europe-west4-sourcemanagerredirector-pa.clients6.google.com,passive,192.178.50.74,404,Error 404 (Not Found)!!1,,,,No
europe.apigee.google.com,passive,142.251.34.142,200,Sign in - Google Accounts,,apache,,No
exams.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
ext.google.com,passive,,,,,,,No
feedback-pa.clients6.google.com,passive,142.251.35.234,404,Error 404 (Not Found)!!1,,,,No
filmfestival.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
firealerts-pa.clients6.google.com,passive,172.217.165.202,404,,,,,No
firebase.clients6.google.com,passive,172.217.165.202,404,,,,,No
firebaseabt-pa.clients6.google.com,passive,142.250.217.202,404,Error 404 (Not Found)!!1,,,,No
firebaseappcheck-pa.clients6.google.com,passive,142.250.217.170,404,Error 404 (Not Found)!!1,,,,No
firebaseappcheck.clients6.google.com,passive,172.217.165.202,404,Error 404 (Not Found)!!1,,,,No
firebaseappdistribution-pa.clients6.google.com,passive,142.250.64.170,404,Error 404 (Not Found)!!1,,,,No
firebaseappdistribution.clients6.google.com,passive,142.251.34.138,404,Error 404 (Not Found)!!1,,,,No
firebaseapptesters.clients6.google.com,passive,142.250.217.234,404,Error 404 (Not Found)!!1,,,,No
firebasedatabase.clients6.google.com,passive,142.250.217.234,404,Error 404 (Not Found)!!1,,,,No
firebasedurablelinks-pa.clients6.google.com,passive,192.178.50.74,404,Error 404 (Not Found)!!1,,,,No
firebaseextensions-pa.clients6.google.com,passive,142.250.64.170,404,Error 404 (Not Found)!!1,,,,No
firebasehosting.clients6.google.com,passive,142.251.35.234,404,Error 404 (Not Found)!!1,,,,No
firebasemessagingcampaigns.clients6.google.com,passive,172.217.2.202,404,Error 404 (Not Found)!!1,,,,No
firebasereleasemon-pa.clients6.google.com,passive,192.178.50.42,404,Error 404 (Not Found)!!1,,,,No
firebaseremoteconfig-pa.clients6.google.com,passive,142.251.35.234,404,Error 404 (Not Found)!!1,,,,No
firebaserules.clients6.google.com,passive,142.250.217.202,404,Error 404 (Not Found)!!1,,,,No
firebasesagepredictions-pa.clients6.google.com,passive,192.178.50.74,404,Error 404 (Not Found)!!1,,,,No
firebasestorage.clients6.google.com,passive,142.251.35.234,404,Error 404 (Not Found)!!1,,,,No
firebasetargeting-pa.clients6.google.com,passive,172.217.2.202,404,Error 404 (Not Found)!!1,,,,No
fireconsole-pa.clients6.google.com,passive,192.178.50.74,404,Error 404 (Not Found)!!1,,,,No
firestore.clients6.google.com,passive,142.250.217.234,404,Error 404 (Not Found)!!1,,,,No
flexpack.google.com,passive,,,,,,,No
focus.corp.google.com,passive,,,,,,,No
fra-da.ext.google.com,passive,,,,,,,No
frame.ads-devel.qa.adz.google.com,passive,172.217.215.129,200,frame.ads-devel.qa.adz.google.com - Google Single Sign On: Sign into corp,,,,No
frame.ads-nightly.qa.adz.google.com,passive,172.217.215.129,200,frame.ads-nightly.qa.adz.google.com - Google Single Sign On: Sign into corp,,,,No
frame.ads-prod.qa.adz.google.com,passive,172.217.215.129,200,frame.ads-prod.qa.adz.google.com - Google Single Sign On: Sign into corp,,,,No
frame.adwords-canary.qa.adz.google.com,passive,172.217.215.129,200,frame.adwords-canary.qa.adz.google.com - Google Single Sign On: Sign into corp,,,,No
frame.adwords-detours-prod.qa.adz.google.com,passive,142.250.9.129,200,frame.adwords-detours-prod.qa.adz.google.com - Google Single Sign On: Sign into corp,,,,No
frame.adwords-next-external-devel.qa.adz.google.com,passive,74.125.136.129,200,frame.adwords-next-external-devel.qa.adz.google.com - Google Single Sign On: Sign into corp,,,,No
frame.adwords-next-external-prod.qa.adz.google.com,passive,142.250.9.129,200,frame.adwords-next-external-prod.qa.adz.google.com - Google Single Sign On: Sign into corp,,,,No
frame.canary.qa.adz.google.com,passive,173.194.219.129,200,frame.canary.qa.adz.google.com - Google Single Sign On: Sign into corp,,,,No
frame.ds-next-devel.qa.adz.google.com,passive,74.125.21.129,200,frame.ds-next-devel.qa.adz.google.com - Google Single Sign On: Sign into corp,,,,No
frame.ds-next-external-devel.qa.adz.google.com,passive,74.125.21.129,200,frame.ds-next-external-devel.qa.adz.google.com - Google Single Sign On: Sign into corp,,,,No
frame.ds-next-external-prod.qa.adz.google.com,passive,172.253.124.129,200,frame.ds-next-external-prod.qa.adz.google.com - Google Single Sign On: Sign into corp,,,,No
frame.ds-next-nightly.qa.adz.google.com,passive,64.233.176.129,200,frame.ds-next-nightly.qa.adz.google.com - Google Single Sign On: Sign into corp,,,,No
frame.ds-next-prod.qa.adz.google.com,passive,74.125.136.129,200,frame.ds-next-prod.qa.adz.google.com - Google Single Sign On: Sign into corp,,,,No
frame.searchads-canary.qa.adz.google.com,passive,64.233.185.129,200,frame.searchads-canary.qa.adz.google.com - Google Single Sign On: Sign into corp,,,,No
freezone.accounts.google.com,passive,,,,,,,No
freezone.google.com,passive,,,,,,,No
freezone.m.google.com,passive,,,,,,,No
freezone.mail.google.com,passive,,,,,,,No
friendconnect.google.com,passive,142.250.64.142,404,Error 404 (Not Found)!!1,,,,No
gaiastaging.flexpack.google.com,passive,,,,,,,No
gaiastaging.freezone.google.com,passive,,,,,,,No
games.corp.google.com,passive,,,,,,,No
gcmcontextualcampaign-pa.clients6.google.com,passive,142.250.217.202,404,Error 404 (Not Found)!!1,,,,No
geminidataanalytics.cloud.google.com,passive,142.250.64.238,200,Sign in - Google Accounts,,apache,,No
git.corp.google.com,passive,172.253.124.129,200,,,,,No
glass-eur.ext.google.com,passive,,,,,,,No
glass-mtv.ext.google.com,passive,,,,,,,No
glass-twd.ext.google.com,passive,,,,,,,No
glass.ext.google.com,passive,,,,,,,No
glpi.usc.edu.tt,passive,,,,,,,No
gmail-smtp-in.l.google.com,passive,173.194.212.27,,,,,,No
gmail.google.com,passive,192.178.50.46,200,Gmail,,apache,,No
gmr-smtp-in.l.google.com,passive,74.125.196.14,,,,,,No
go.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
google-voice.client-channel.google.com,passive,172.217.203.189,404,Error 404 (Not Found)!!1,,,,No
google.com,passive,142.250.64.206,200,Google,,,,No
googlehomefoyer-pa.clients6.google.com,passive,142.250.217.234,404,Error 404 (Not Found)!!1,,,,No
googlesource.corp.google.com,passive,,,,,,,No
grad2022.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 80, 110, 143, 443, 993, 995, 8443",No
grad2023.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
grad2024.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
grad2025.usc.edu.tt,passive,"34.136.28.237, 34.136.28.237",,,,,"53, 80, 443",No
grimoireoss-pa.clients6.google.com,passive,192.178.50.74,404,Error 404 (Not Found)!!1,,,,No
growth-pa.clients6.google.com,passive,172.217.2.202,404,Error 404 (Not Found)!!1,,,,No
gstt.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 80, 110, 143, 443, 993, 995, 8443",No
guesthouse.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
guyana.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
hangouts.clients6.google.com,passive,192.178.50.74,404,Error 404 (Not Found)!!1,,,,No
hangoutssearch-pa.clients6.google.com,passive,142.251.34.138,404,Error 404 (Not Found)!!1,,,,No
hangoutsusermedia-pa.clients6.google.com,passive,142.250.217.234,404,Error 404 (Not Found)!!1,,,,No
honeycomb-pa.clients6.google.com,passive,192.178.50.42,404,Error 404 (Not Found)!!1,,,,No
honeycomb.client-channel.google.com,passive,74.125.139.189,404,Error 404 (Not Found)!!1,,,,No
hospitality.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46",200,USC Hospitality Services &#8211; Campus comfort &amp; hospitality services,,"PHP,nginx,wordpress","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
host: elearn.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46",,,,,"21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
host: espace.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46",,,,,"21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
host: ogads-pa.clients6.google.com,passive,172.217.165.202,,,,,,No
host: programmes.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46",,,,,"21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
host: waa-pa.clients6.google.com,passive,142.250.217.170,,,,,,No
hosted-id.google.com,passive,,,,,,,No
hot-da.ext.google.com,passive,,,,,,,No
hr.client-channel.google.com,passive,173.194.216.189,404,Error 404 (Not Found)!!1,,,,No
hyd-da.ext.google.com,passive,,,,,,,No
iam.clients6.google.com,passive,172.217.165.202,404,Error 404 (Not Found)!!1,,,,No
ice.ext.google.com,passive,,,,,,,No
ics-devel-east.qa.adz.google.com,passive,108.177.122.129,200,ics-devel-east.qa.adz.google.com - Google Single Sign On: Sign into corp,,,,No
ics.prod.google.com,passive,,,,,,,No
ide.cloud.google.com,passive,142.250.217.174,200,Sign in - Google Accounts,,apache,,No
identitytoolkit.clients6.google.com,passive,142.251.34.138,404,Error 404 (Not Found)!!1,,,,No
inclusivehope.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
instantmessaging-pa-heron.clients6.google.com,passive,172.217.165.202,404,Error 404 (Not Found)!!1,,,,No
instantmessaging-pa-us.clients6.google.com,passive,142.250.217.234,404,Error 404 (Not Found)!!1,,,,No
instantmessaging-pa.clients6.google.com,passive,172.217.15.202,404,Error 404 (Not Found)!!1,,,,No
jibemessagestore.clients6.google.com,passive,172.217.165.202,404,Error 404 (Not Found)!!1,,,,No
jmt0.google.com,passive,192.178.50.46,404,Error 404 (Not Found)!!1,,,,No
jotspot-qa08.corp.google.com,passive,,,,,,,No
keep-pa.clients6.google.com,passive,142.251.34.138,404,Error 404 (Not Found)!!1,,,,No
kidsmanagement-pa.clients6.google.com,passive,142.250.217.234,404,Error 404 (Not Found)!!1,,,,No
languagecenter.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
languagecentre.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46",200,International Centre for Corporate Training and Languages &#8211; Language Centre for International Students,,"PHP,nginx,wordpress","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
libadmin@usc.edu.tt,passive,,,,,,,No
library.usc.edu.tt,passive,"159.89.177.234, 159.89.177.234",200,Forde Library Main | Stacks Title,,"nginx,drupal","22, 53, 80, 443",No
link.usc.edu.tt,passive,"52.72.49.79, 52.72.49.79",200,Rebrandly,,,"53, 80, 443",No
locker-pa.clients6.google.com,passive,142.250.217.170,404,Error 404 (Not Found)!!1,,,,No
logging.clients6.google.com,passive,142.250.217.234,404,Error 404 (Not Found)!!1,,,,No
login.corp.google.com,passive,74.125.138.129,200,Google Single Sign On: Sign into corp,,,,No
lookerstudio.africa-south1.cloud.google.com,passive,192.178.50.46,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.asia-east1.cloud.google.com,passive,192.178.50.78,200,Looker Studio Overview,,,,No
lookerstudio.asia-east2.cloud.google.com,passive,172.217.15.206,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.asia-northeast1.cloud.google.com,passive,172.217.165.206,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.asia-northeast2.cloud.google.com,passive,142.251.34.142,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.asia-northeast3.cloud.google.com,passive,192.178.50.46,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.asia-south1.cloud.google.com,passive,142.250.217.238,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.asia-south2.cloud.google.com,passive,172.217.165.206,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.asia-southeast1.cloud.google.com,passive,142.250.217.206,200,Looker Studio Overview,,,,No
lookerstudio.asia-southeast2.cloud.google.com,passive,172.217.165.206,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.asia-southeast3.cloud.google.com,passive,142.250.217.206,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.australia-southeast1.cloud.google.com,passive,172.217.2.206,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.australia-southeast2.cloud.google.com,passive,142.250.64.206,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.eu.cloud.google.com,passive,172.217.165.206,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.europe-central2.cloud.google.com,passive,192.178.50.46,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.europe-north1.cloud.google.com,passive,142.250.64.142,200,Looker Studio Overview,,,,No
lookerstudio.europe-north2.cloud.google.com,passive,192.178.50.78,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.europe-southwest1.cloud.google.com,passive,142.250.64.142,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.europe-west1.cloud.google.com,passive,172.217.15.206,200,Looker Studio Overview,,,,No
lookerstudio.europe-west10.cloud.google.com,passive,192.178.50.78,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.europe-west12.cloud.google.com,passive,142.250.217.174,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.europe-west2.cloud.google.com,passive,172.217.2.206,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.europe-west3.cloud.google.com,passive,142.250.64.238,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.europe-west4.cloud.google.com,passive,192.178.50.46,200,Looker Studio Overview,,,,No
lookerstudio.europe-west6.cloud.google.com,passive,172.217.2.206,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.europe-west8.cloud.google.com,passive,142.250.217.206,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.europe-west9.cloud.google.com,passive,192.178.50.78,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.me-central1.cloud.google.com,passive,172.217.2.206,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.me-central2.cloud.google.com,passive,172.217.165.206,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.me-west1.cloud.google.com,passive,192.178.50.46,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.northamerica-northeast1.cloud.google.com,passive,142.250.64.238,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.northamerica-northeast2.cloud.google.com,passive,142.251.35.238,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.northamerica-south1.cloud.google.com,passive,142.250.217.206,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.southamerica-east1.cloud.google.com,passive,192.178.50.46,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.southamerica-west1.cloud.google.com,passive,192.178.50.78,200,Looker Studio Overview,,,,No
lookerstudio.us-central1.cloud.google.com,passive,192.178.50.78,200,Looker Studio Overview,,,,No
lookerstudio.us-east1.cloud.google.com,passive,142.250.64.174,200,Looker Studio Overview,,,,No
lookerstudio.us-east4.cloud.google.com,passive,142.251.34.142,200,Looker Studio Overview,,,,No
lookerstudio.us-east5.cloud.google.com,passive,192.178.50.46,200,Looker Studio Overview,,,,No
lookerstudio.us-south1.cloud.google.com,passive,142.250.217.174,200,Looker Studio Overview,,,,No
lookerstudio.us-west1.cloud.google.com,passive,142.250.64.174,200,Looker Studio Overview,,,,No
lookerstudio.us-west2.cloud.google.com,passive,192.178.50.46,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.us-west3.cloud.google.com,passive,142.250.64.142,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.us-west4.cloud.google.com,passive,142.250.217.238,200,Looker Studio Overview,,,,No
lookerstudio.us-west8.cloud.google.com,passive,142.250.64.206,404,Error 404 (Not Found)!!1,,,,No
lookerstudio.us.cloud.google.com,passive,192.178.50.78,404,Error 404 (Not Found)!!1,,,,No
loop.corp.google.com,passive,,,,,,,No
m.google.com,passive,172.217.165.203,200,Google's products and services  - About Google,,,,No
m.guts.corp.google.com,passive,142.251.15.129,200,m.guts.corp.google.com - Google Single Sign On: Sign into corp,,,,No
m.gutsdev.corp.google.com,passive,74.125.21.129,200,Sign in - Google Accounts,,apache,,No
mail.connect.usc.edu.tt,passive,,,,,,,No
mail.de.usc.edu.tt,passive,137.184.111.46,404,404 Not Found,,"apache,nginx","21, 22, 80, 110, 143, 443, 993, 995, 8443",No
mail.elearn.usc.edu.tt,passive,"104.244.122.231, 104.244.122.231",200,USC,,apache,"21, 53, 80, 110, 143, 443, 993, 995, 3306",No
mail.espace.usc.edu.tt,passive,"104.244.122.231, 104.244.122.231",200,USC eSpace,,apache,"21, 80, 110, 143, 443, 993, 995, 3306",No
mail.flexpack.google.com,passive,,,,,,,No
mail.freezone.google.com,passive,,,,,,,No
mail.google.com,passive,192.178.50.37,200,Gmail,,apache,,No
mail.online.usc.edu.tt,passive,"137.184.111.46, 137.184.111.46",404,404 Not Found,,"nginx,apache","21, 22, 53, 80, 110, 143, 443, 993, 995, 8443",No
me-west1-sourcemanagerredirector-pa.clients6.google.com,passive,142.250.217.234,404,Error 404 (Not Found)!!1,,,,No
meeting.ext.google.com,passive,,,,,,,No
meetings.clients6.google.com,passive,172.217.165.202,404,Error 404 (Not Found)!!1,,,,No
meetlivestreamviewer-pa.clients6.google.com,passive,142.250.64.170,404,Error 404 (Not Found)!!1,,,,No
megadash-pa.clients6.google.com,passive,142.250.217.234,404,,,,,No
misc-sni.google.com,passive,,,,,,,No
misc.google.com,passive,,,,,,,No
mobilecrashreporting.clients6.google.com,passive,142.250.217.234,404,Error 404 (Not Found)!!1,,,,No
mobilesdk-pa.clients6.google.com,passive,142.250.217.202,404,,,,,No
